fid,color_2,name,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,geodata_eg,pop_dens,pop_chng,hh_chng,avehhsize,created_us,created_da,last_edite,last_edi_1,shape_star,shape_stle,SHAPE__Length,SHAPE__Area
94,3,Greenspring,3436,22,3357,5,7,1,3,41,17,1512,1924,338,347,152,173,400,445,360,799,422,856,235,72,94,43,527,281,1513,1187,576,611,326,130,56,140,0.1738566,19763.414123,-562,-165,2.8761599, ,, ,,4846824.47223,9653.22740119,3807.90800608816,753771.616676844
95,5,Grove Park,1934,21,1859,10,4,0,5,35,19,832,1102,126,129,76,83,201,218,197,517,387,489,192,54,53,21,244,124,945,871,406,465,74,38,5,31,0.34330437,5633.48493242,-239,63,2.21929001, ,, ,,9570738.28607,12781.6548805,5040.05907462933,1488568.20430481
96,4,Guilford,2214,1810,221,2,100,3,16,62,70,1099,1115,132,218,80,79,139,134,327,775,330,610,552,232,13,6,45,20,941,876,791,85,65,7,7,51,0.55272714,4005.59300369,116,65,2.52740001, ,, ,,15409086.9055,19160.9559939,7558.17091527626,2396565.35966683
97,5,Gwynns Falls,1184,641,479,9,3,0,12,40,51,593,591,85,116,47,58,117,167,166,327,101,285,137,52,49,22,99,47,511,439,244,195,72,19,8,45,0.17874824,6623.84126819,1,-28,2.69704008, ,, ,,4983195.13336,10144.0197385,3995.74903429346,773691.574394329
98,2,Gwynns Falls/Leakin Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74538332,0,0,0,0, ,, ,,20780011.3057,35837.0456845,14123.3003151686,3228695.4632618
99,5,Hampden,6963,6208,314,18,186,1,60,176,221,3371,3592,356,304,114,126,640,1912,1005,1566,940,1417,933,248,170,69,314,131,3858,3432,1913,1519,426,164,68,194,0.61445428,11332.0066295,-499,-35,2.01980996, ,, ,,17129933.7401,19317.3123965,7618.18803748123,2663581.31805596
100,2,Hanlon-Longwood,2311,23,2222,2,2,0,18,44,35,1029,1282,123,216,89,101,211,290,269,641,371,564,183,53,66,22,315,122,1133,898,533,365,235,60,25,150,0.43518338,5310.40493297,-378,-148,2.57349991, ,, ,,12132167.9788,15975.3898448,6296.49370414786,1885779.09516557
101,1,Hamilton Hills,9752,2495,6837,17,94,1,89,219,266,4522,5230,777,885,324,373,1091,1482,1335,2670,815,2427,1152,421,258,132,1017,598,4410,4054,1972,2082,356,198,51,107,1.14193358,8539.90117559,-28,-100,2.40305995, ,, ,,31835154.025,26493.0839559,10452.2163946548,4954534.05942308
102,4,Harlem Park,3654,43,3524,7,22,0,6,52,29,1747,1907,236,287,118,128,400,419,405,1011,650,715,176,56,112,31,427,220,2648,1579,345,1234,1069,203,38,828,0.31217524,11704.9641194,-1065,-320,2.25205993, ,, ,,8702911.43793,12560.7674714,4947.05012423218,1351904.16331377
103,3,Harwood,1575,324,1174,5,25,0,10,37,44,717,858,117,133,66,59,214,281,230,350,125,331,128,40,34,13,169,83,749,570,303,267,179,62,19,98,0.07093151,22204.5176238,-208,1,2.75439, ,, ,,1977449.14349,5914.2249559,2333.27295384345,307389.69202432
104,2,Hawkins Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96445879,0,0,0,0, ,, ,,54765749.11,55783.9116388,21950.0044109891,8486319.23077407
105,2,Heritage Crossing,1029,30,958,2,17,0,5,17,25,428,601,102,123,34,45,139,145,128,252,61,254,61,26,27,16,166,104,446,437,156,281,9,5,0,4,0.08518165,12080.0659703,629,244,2.35469007, ,, ,,2374718.72424,7775.35161601,3064.72760692382,368890.112201078
106,3,Herring Run Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24079362,0,0,0,0, ,, ,,6712914.21143,12150.6498692,4792.54257337933,1043788.73569418
107,1,Highlandtown,2666,1779,336,25,36,0,396,94,750,1414,1252,201,145,67,73,283,664,391,563,279,534,306,112,87,33,141,54,1315,1077,637,440,238,85,43,110,0.14210869,18760.2877308,-155,-73,2.46982002, ,, ,,3961747.18439,8604.63357209,3388.37269557919,615284.495704505
108,5,Hillen,2344,110,2178,2,10,0,10,34,24,1085,1259,146,187,89,91,277,289,260,669,336,584,254,76,62,27,268,111,980,898,679,219,82,39,20,23,0.16870856,13893.781802,-328,-84,2.61023998, ,, ,,4703306.06403,9382.39289607,3702.14414386971,731550.902093215
109,2,Hoes Heights,865,626,145,4,56,2,8,24,28,421,444,51,38,16,19,62,185,142,232,120,209,134,48,26,4,49,23,461,428,272,156,33,10,6,17,0.07752859,11157.1733356,-69,-11,2.02102994, ,, ,,2161364.60468,6676.30227241,2634.45028174205,336164.791980285
110,1,Holabird Industrial Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56413698,0,0,0,0, ,, ,,15727173.5887,32082.3003456,12641.2727947456,2440996.98193446
111,4,Hollins Market,1838,561,1169,6,39,1,21,41,53,947,891,101,130,49,63,205,412,303,474,101,343,128,47,55,11,160,94,1144,853,220,633,291,86,31,174,0.10695453,17184.872841,-212,1,2.1547501, ,, ,,2981709.24518,7921.82652751,3118.99768471368,463064.283213221
112,5,Homeland,3201,2782,232,5,116,0,18,48,80,1558,1643,256,311,101,108,232,230,502,1028,433,827,742,380,23,14,62,29,1191,1143,1019,124,48,11,15,22,0.61573724,5198.64609599,113,8,2.6098001, ,, ,,17165700.412,18261.9585575,7203.07440450801,2671278.62679061
113,2,Hopkins Bayview,103,53,32,0,8,0,9,1,15,46,57,2,3,1,2,2,17,12,20,44,11,7,1,0,0,4,2,22,20,11,9,2,0,1,1,0.41529041,248.0192095,-355,-99,2.40000009, ,, ,,11577585.943,16512.9543105,6503.62852691871,1798264.51406562
114,1,Howard Park,5929,174,5588,16,19,0,36,96,104,2737,3192,305,442,224,242,519,609,714,1799,1075,1438,671,185,146,44,621,235,2578,2335,1521,814,243,84,26,133,1.05748092,5606.72051356,-189,43,2.51777005, ,, ,,29480758.3174,24848.8998103,9803.20286224649,4583867.21295708
115,4,Hunting Ridge,1296,365,882,3,4,1,5,36,25,613,683,96,98,45,36,107,146,192,398,178,349,214,85,31,13,104,45,616,563,398,165,53,26,12,15,0.26182773,4949.81936793,125,46,2.30194997, ,, ,,7299309.16382,11845.6394585,4667.90524249432,1133893.51815998
116,4,Idlewood,2676,349,2228,1,25,1,23,49,65,1200,1476,173,256,114,129,253,401,384,754,212,700,316,146,64,24,320,160,1144,1084,848,236,60,15,34,11,0.20800497,12865.0766365,-34,4,2.46217989, ,, ,,5798822.81958,10299.3910147,4061.45003181809,902641.305776259
117,5,Inner Harbor,1484,1144,125,2,158,0,22,33,81,758,726,58,17,1,3,93,460,240,447,165,317,277,45,17,6,23,8,1443,922,437,485,521,90,246,185,0.24140182,6147.42658185,843,502,1.58677005, ,, ,,6729869.74377,37141.6983457,14637.4005518571,1045049.21738507
118,1,Irvington,4167,429,3593,22,13,1,12,97,55,1863,2304,308,413,196,205,436,579,478,1130,422,983,340,126,107,47,536,307,1740,1510,713,797,230,82,20,128,0.88885172,4688.07101131,-234,-103,2.60595989, ,, ,,24779664.7764,27199.0179338,10714.7294145838,3847358.34692352
119,2,Johns Hopkins Homewood,669,394,28,1,203,1,9,33,41,364,305,4,0,0,5,646,8,4,2,0,4,1,1,1,0,2,2,13,9,3,6,4,3,0,1,0.25650034,2608.18357943,-1302,0,2, ,, ,,7150790.74078,13201.7722929,5209.63678169468,1111840.57191347
120,1,Johnston Square,1906,36,1831,7,3,0,11,18,20,867,1039,112,154,80,87,197,189,200,640,247,452,114,32,49,17,289,103,1054,793,337,456,261,27,18,216,0.17087755,11154.1857041,-821,-174,2.40352988, ,, ,,4763773.82037,10541.961704,4152.60270858609,740157.253224466
121,1,Jones Falls Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28001205,0,0,0,0, ,, ,,7806256.90228,23820.9785513,9395.07808687411,1213420.61524574
122,1,Jonestown,1367,318,918,8,67,0,21,35,63,786,581,101,122,28,33,120,302,185,433,43,228,80,37,13,8,135,84,432,381,127,254,51,30,13,8,0.13445953,10166.6275177,814,308,2.50656008, ,, ,,3748501.68243,8888.95556141,3504.06306569835,582205.966860583
123,4,Bayview,2263,1481,234,7,123,0,342,76,519,1151,1112,189,133,53,74,221,479,284,522,308,502,285,124,76,31,141,62,1114,968,520,448,146,60,20,66,0.09341616,24224.9290561,87,-75,2.32851004, ,, ,,2604282.83197,7482.44762484,2946.18101701263,404467.705943667
124,5,Kenilworth Park,1206,25,1167,1,2,0,3,8,10,546,660,74,98,37,51,96,130,152,349,219,325,156,38,30,9,139,63,545,494,315,179,51,27,7,17,0.14503175,8315.42018599,-176,-47,2.44129991, ,, ,,4043237.16125,9251.86041756,3652.39956921505,629023.506088074
125,1,Kernewood,726,326,354,0,19,0,12,15,20,330,396,46,63,35,34,66,76,92,219,95,166,99,52,16,6,51,23,321,256,200,56,65,8,4,53,0.07195671,10089.3991804,203,45,2.75, ,, ,,2006029.99976,6813.50184974,2686.12709035059,312056.644241517
126,5,Keswick,650,553,42,0,39,0,0,16,13,294,356,34,44,20,13,22,63,106,212,136,181,151,54,6,3,24,12,322,313,273,40,9,3,1,5,0.07997295,8127.74761251,26,0,2.07667994, ,, ,,2229509.13074,8852.93405767,3490.13873496829,346791.829593645
127,5,Kresson,440,201,116,2,13,0,97,11,145,247,193,30,36,17,18,54,92,72,97,24,86,31,17,19,4,36,22,191,152,47,105,39,19,4,16,0.26794341,1642.13775517,43,16,2.8947401, ,, ,,7469803.85406,13318.7104578,5248.25551580261,1160357.15817637
128,2,Lake Evesham,543,427,90,2,5,0,3,16,11,275,268,39,47,12,13,80,72,88,142,50,123,87,41,9,4,27,19,253,228,146,82,25,8,10,7,0.07108995,7638.20983542,60,1,2.38158011, ,, ,,1981866.29706,6184.79022424,2438.28190961036,308471.768997738
129,4,Lake Walker,2095,1063,762,3,89,5,119,54,183,955,1140,174,116,40,32,288,393,282,513,257,419,242,108,48,23,129,66,1190,1059,424,635,131,96,11,24,0.20295479,10322.495743,10,-97,1.96977996, ,, ,,5658032.30444,10861.4900577,4282.33356417958,880731.623587335
130,2,Lakeland,4551,1370,2509,12,132,3,421,104,889,2289,2262,403,537,195,216,492,813,590,968,337,1069,469,217,158,85,442,257,1739,1581,736,845,158,85,22,51,0.54808907,8303.39480187,271,47,2.87792992, ,, ,,15279785.4267,15962.7856109,6283.40698033073,2370830.06053769
131,3,Langston Hughes,1036,9,1006,0,0,0,8,13,12,492,544,67,115,44,42,111,112,126,290,129,236,76,24,24,13,136,55,435,332,175,157,103,30,9,64,0.06047174,17131.9684654,-132,-48,3.12048006, ,, ,,1685848.70587,5157.41982752,2033.95993572096,262228.778789225
132,4,Lauraville,4151,1698,2222,22,52,1,47,109,120,1930,2221,231,345,159,178,352,559,559,1241,527,944,562,205,80,34,302,143,1703,1549,1139,410,154,55,28,71,0.59131377,7019.96163541,-224,-78,2.58811998, ,, ,,16484815.9441,20785.0176964,8198.27626668121,2564380.63512818
133,3,Levindale,1218,180,1018,5,1,0,0,14,10,564,654,39,53,22,34,75,72,87,352,484,197,82,14,20,5,95,41,531,493,182,311,38,31,0,7,0.14782164,8239.65943807,-21,-2,1.89249002, ,, ,,4121014.42145,8920.87333244,3517.01278305508,641181.119463008
134,3,Liberty Square,770,9,740,1,2,0,9,9,3,323,447,41,42,15,35,74,88,91,214,170,174,52,14,25,5,97,41,405,371,83,288,34,16,3,15,0.11702097,6580.01691402,9,55,2.07546997, ,, ,,3262344.52155,8544.12919782,3367.3333245692,507139.27314275
135,4,Little Italy,576,494,21,0,21,0,21,19,50,300,276,27,6,2,1,51,169,91,134,95,105,72,17,12,1,21,3,393,322,172,150,71,33,16,22,0.05003339,11512.310429,23,35,1.78882002, ,, ,,1394845.48022,5216.83209646,2055.52235706614,216617.112101953
136,5,Loch Raven,6163,505,5422,4,120,0,22,90,110,2557,3606,347,474,191,216,653,914,701,1647,1020,1401,614,184,125,53,662,322,2978,2838,1143,1695,140,62,23,55,0.57044916,10803.7672261,133,92,2.10747003, ,, ,,15903146.4045,19133.1953623,7550.71745383596,2474929.53978748
137,1,Locust Point,2138,2019,27,7,53,1,10,21,37,1081,1057,117,55,23,30,173,714,319,508,199,461,355,103,39,10,67,18,1292,1046,741,305,246,40,127,79,0.13429989,15919.5955366,209,151,2.03823995, ,, ,,3744051.20007,9958.62568444,3924.47622857481,581165.447169725
138,4,Locust Point Industrial Area,642,547,33,1,31,0,9,21,23,336,306,69,13,2,3,60,199,121,137,38,159,139,52,12,5,8,1,388,289,230,59,99,20,55,24,0.79815532,804.35471514,565,260,2.20414996, ,, ,,22251204.4357,58571.145484,23078.7973558825,3453732.26838166
139,3,Lower Herring Run Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08696272,0,0,0,0, ,, ,,2424371.80109,8050.46560866,3174.10726327674,376867.25375972
140,3,Loyola/Notre Dame,3208,2780,188,7,108,1,40,84,158,1195,2013,2,0,2,6,3132,32,3,22,9,13,11,4,1,0,1,0,15,15,13,2,0,0,0,0,0.30078127,10665.5576581,-864,-481,2.66667008, ,, ,,8385267.05878,17177.4418963,6776.80773411416,1304514.1235583
141,5,Lucille Park,567,9,548,3,1,0,0,6,5,301,266,40,48,11,24,64,59,99,172,50,110,26,8,11,5,73,28,220,159,75,84,61,7,1,53,0.10481052,5409.76194567,51,-1,3.05660009, ,, ,,2921938.10504,9489.16611502,3738.58848081018,454453.591594487
142,1,Madison Park,2134,305,1730,8,31,2,9,49,38,986,1148,191,215,62,65,317,379,237,502,166,403,93,25,39,20,271,191,1316,1033,101,932,283,147,13,123,0.15908533,13414.1842004,-6,-55,1.98837995, ,, ,,4435026.88953,14263.2063374,5622.31201191104,689098.702660374
143,2,Madison-Eastend,2487,54,2371,10,6,0,15,31,53,1141,1346,271,297,112,152,293,316,294,555,197,599,151,54,66,27,382,200,916,746,312,434,170,73,6,91,0.104293,23846.2791761,30,1,3.31903004, ,, ,,2907510.34772,7197.11549344,2835.09136998661,451710.836470216
144,4,Mayfield,861,638,166,1,17,0,3,36,24,404,457,59,43,25,27,63,96,126,328,94,224,172,66,10,3,42,18,375,354,319,35,21,2,9,10,0.13002813,6621.6436321,-95,-15,2.41525006, ,, ,,3624961.97546,8117.6170454,3200.23414523658,563616.608905717
145,3,McElderry Park,4033,382,3238,33,48,0,190,142,473,1916,2117,411,524,202,230,533,615,522,790,206,877,229,107,109,43,539,325,1719,1172,341,831,547,187,52,308,0.12646332,31890.6680099,-426,-156,3.43857002, ,, ,,3525581.13281,8044.49245947,3169.38744775183,547674.924108666
146,3,Medfield,2748,2074,337,7,216,0,48,66,113,1323,1425,141,158,77,58,251,671,425,669,298,634,419,149,50,28,165,84,1406,1327,787,540,79,39,17,23,0.2601958,10561.277269,-12,-8,2.07083988, ,, ,,7253813.60577,10675.3331909,4211.80938361102,1128205.06723077
147,3,Medford,1412,664,379,16,35,2,251,65,423,721,691,107,101,25,46,165,281,202,342,143,317,152,50,56,21,109,56,610,578,202,376,32,21,2,9,0.154009,9168.29518053,229,24,2.44290995, ,, ,,4293507.41455,8548.49517543,3367.63177415659,666628.340581909
148,4,Mid-Govans,1465,135,1271,2,21,0,1,35,18,661,804,103,150,66,77,153,188,185,390,153,352,149,58,30,14,173,78,596,512,349,163,84,27,13,44,0.12883738,11370.9227161,-75,-47,2.84570002, ,, ,,3591765.91461,7206.92224899,2841.9622997349,558906.517202468
149,3,Mid-Town Belvedere,3830,2298,1001,17,329,0,39,146,178,1957,1873,66,45,9,15,655,1468,520,761,291,365,261,37,42,9,62,21,3005,2550,413,2137,455,263,31,161,0.2209043,17337.8239361,636,325,1.44471001, ,, ,,6158434.02692,10698.2351905,4218.14090592519,956864.18901642
150,5,Middle Branch/Reedbird Parks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36427893,0,0,0,0, ,, ,,10155473.2048,30219.7238129,11902.4287439409,1575430.00527348
151,1,Middle East,1484,54,1408,2,6,0,8,6,26,667,817,117,152,41,63,158,174,146,376,257,313,86,23,43,15,184,100,913,628,155,473,285,32,7,246,0.19801392,7494.42229724,-2069,-518,2.33438992, ,, ,,5520289.41888,9473.71666889,3733.61352355213,857652.265934219
152,2,Midtown-Edmondson,1663,19,1623,1,1,0,5,14,7,807,856,102,174,56,88,206,199,179,474,185,382,99,26,50,12,233,94,1112,544,211,333,568,28,10,530,0.14956529,11118.8898587,-665,-255,3.0569899, ,, ,,4169624.33594,11871.3813816,4680.29652727856,647711.917104373
153,2,Millhill,1787,711,917,8,36,1,54,60,93,846,941,149,202,76,92,191,227,200,466,184,374,159,66,40,13,175,103,843,672,224,448,171,36,10,125,0.20979569,8517.81061801,-63,-34,2.65922999, ,, ,,5848744.91077,11528.4022207,4543.96381189516,908114.25283348
154,5,Milton-Montford,1391,21,1305,9,10,0,23,23,39,623,768,153,162,58,61,200,188,154,327,88,315,67,33,56,17,192,92,744,416,139,277,328,39,6,283,0.056786,24495.4721484,-156,-63,3.34375, ,, ,,1583096.62482,5033.45719594,1984.16143709269,245949.151371347
155,2,Mondawmin,3512,41,3374,13,13,2,14,55,51,1488,2024,180,256,115,136,902,370,314,786,453,643,178,51,92,27,373,160,1522,1145,478,667,377,79,11,287,0.38277174,9175.18081482,-44,-170,2.5301299, ,, ,,10671021.2176,13837.7520233,5453.90427306812,1658451.03240597
156,1,Montebello,117,19,84,0,1,0,8,5,8,53,64,24,19,8,4,5,23,11,19,4,7,5,3,1,1,1,0,22,16,11,5,6,3,0,3,0.4641626,252.06683566,-361,-2,2.625, ,, ,,12940059.1079,15669.336386,6180.0335248116,2012287.51171309
157,5,Moravia-Walther,999,375,582,3,5,0,3,31,21,473,526,63,79,33,38,88,113,177,312,96,256,159,66,16,9,81,37,432,409,338,71,23,8,9,6,0.13101388,7625.14614876,-79,-5,2.42543005, ,, ,,3652442.80615,8864.34597724,3496.9088886917,568075.130697725
158,3,Morgan Park,256,3,243,0,0,0,0,10,1,113,143,11,15,7,8,17,23,27,76,72,69,45,6,3,1,21,5,121,114,100,14,7,2,0,5,0.07261075,3525.64840891,0,0,2.24560999, ,, ,,2024263.63104,5822.75381211,2296.97100435595,314903.332059616
159,2,Morgan State University,1790,48,1698,2,14,1,0,27,5,769,1021,4,4,1,26,1686,41,9,15,4,9,2,0,2,1,5,3,37,25,5,20,12,9,2,1,0.26376592,6786.32002667,1790,25,2.27999997, ,, ,,7353342.63458,20842.8134201,8221.14084253948,1143872.22097003
160,5,Morrell Park,4204,3208,586,26,132,9,114,129,217,2058,2146,277,349,162,124,393,685,543,1153,518,977,561,195,104,45,312,141,1832,1688,1127,561,144,27,30,87,0.83863166,5012.92782167,49,0,2.49052, ,, ,,23379615.467,19042.1640615,7499.49991288302,3628506.24822331
161,3,Mosher,1589,15,1542,7,4,0,0,21,17,701,888,124,156,68,80,199,170,171,410,211,387,87,30,61,22,239,100,786,548,233,315,238,68,12,158,0.11526371,13785.7784128,-420,-120,2.86679005, ,, ,,3213355.02954,7162.68569155,2824.02816913189,499179.601641668
162,2,New Southwest/Mount Clare,2313,764,1190,27,67,0,165,100,267,1143,1170,224,260,109,112,260,361,305,528,154,456,148,76,97,33,211,123,1141,751,257,494,390,46,49,295,0.11823957,19561.9790285,-80,-71,2.94007992, ,, ,,3296316.85895,8639.52413584,3403.60704079363,511863.224390043
163,4,Mount Holly,1279,21,1238,0,2,0,5,13,14,656,623,71,98,49,71,113,142,178,415,142,283,93,28,47,16,143,70,705,495,195,300,210,85,9,116,0.12392056,10321.1282764,-381,-122,2.48283004, ,, ,,3454693.13208,9461.43836598,3727.85101880467,536893.228808323
164,5,Mount Vernon,4818,2842,1257,12,458,3,67,179,229,2379,2439,71,38,14,24,1053,1740,521,670,687,424,291,46,35,14,98,38,3860,3352,241,3111,508,298,7,203,0.22666112,21256.4020821,299,322,1.36545002, ,, ,,6318924.2182,11595.6358979,4570.63809104154,981628.767716489
165,4,Mount Washington,3878,2804,822,11,81,3,37,120,107,1760,2118,221,312,144,132,155,443,580,1253,638,1001,802,330,45,22,154,85,1721,1649,1298,351,72,17,27,28,1.24104049,3124.79731984,-2,-15,2.30079007, ,, ,,34598084.8259,26939.6540312,10622.8869361856,5384579.55138553
166,4,Mount Winans,748,21,709,3,3,0,0,12,15,323,425,59,85,26,36,74,85,86,207,90,192,55,15,17,6,120,55,372,286,179,107,86,9,2,75,0.07656696,9769.22646614,-282,-57,2.61538004, ,, ,,2134555.87866,6320.89015693,2489.36658999951,331262.227250941
167,3,Mt Pleasant Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25298873,0,0,0,0, ,, ,,7052893.06226,14642.9897097,5780.20861344187,1097756.25017042
168,4,New Northwood,4972,134,4677,7,30,1,46,77,102,2272,2700,286,313,154,231,1013,611,529,1148,687,1174,467,123,107,41,600,264,2092,1940,959,981,152,73,24,55,0.32088432,15494.6800474,-2028,-69,2.39123988, ,, ,,8945705.87537,15961.0786365,6300.83872877774,1391684.56962727
169,2,North Harford Road,5380,3437,1672,13,50,2,99,107,251,2583,2797,356,429,160,171,442,808,842,1487,685,1352,875,353,138,50,339,153,2421,2221,1780,441,200,63,51,86,0.63995986,8406.77716406,102,-34,2.42188, ,, ,,17840985.8033,19737.9674588,7783.30625763775,2776876.91769401
170,3,North Roland Park/Poplar Hill,1450,992,169,1,262,0,1,25,19,708,742,70,100,57,58,106,170,196,440,253,364,310,123,10,5,44,29,663,620,361,259,43,13,10,20,0.61312719,2364.92526665,196,33,2.33871006, ,, ,,17092936.8763,19427.9294403,7661.25895238455,2660495.47715397
171,3,Northwest Community Action,1896,18,1823,5,0,0,3,47,25,846,1050,129,199,92,86,226,196,233,508,227,415,110,39,52,13,253,116,782,616,326,290,166,39,11,116,0.11595587,16351.0475468,-184,-85,2.99025988, ,, ,,3232651.29108,8579.80638173,3380.96191866693,502305.891224438
172,5,O'Donnell Heights,763,80,653,1,0,0,6,23,37,273,490,115,134,45,47,85,111,65,123,38,206,13,6,8,2,185,130,289,275,6,269,14,2,3,9,0.15790099,4832.1419006,-1311,-416,2.77454996, ,, ,,4402009.40881,9880.78322205,3893.13281183627,683468.192089399
173,1,Oakenshawe,1144,823,130,2,134,1,18,36,50,604,540,49,53,18,15,280,218,169,249,93,180,132,55,16,7,32,14,575,505,262,243,70,30,17,23,0.06250668,18302.0420396,65,6,2.2653501, ,, ,,1742579.43237,5903.24727103,2326.99619267411,270952.505046178
174,5,Oaklee,754,445,241,4,27,1,12,24,41,364,390,41,60,14,9,101,185,98,182,64,163,79,28,29,13,55,21,405,384,107,277,21,15,2,4,0.04074534,18505.1794228,1,-22,1.96353995, ,, ,,1135910.60278,5684.49040567,2238.33271789175,176314.6392324
175,2,Oldtown,2658,35,2535,2,38,1,3,44,11,1068,1590,286,367,110,129,232,405,243,636,250,632,102,31,49,21,481,335,1231,1177,168,1009,54,28,9,17,0.16738106,15879.9328795,-883,-401,2.24809002, ,, ,,4666297.48083,9578.2192508,3774.86305734257,724904.431505107
176,4,Oliver,4153,55,4016,6,11,1,8,56,39,1896,2257,302,342,172,228,460,455,460,1210,524,932,189,62,132,39,611,281,2514,1591,594,997,923,111,39,773,0.26293101,15795.0172638,-1320,-359,2.60778999, ,, ,,7330066.82666,10859.8752595,4281.3778920994,1139032.87092134
177,1,Orangeville,202,145,25,2,1,1,17,11,23,99,103,15,11,8,4,24,27,29,55,29,44,30,11,6,1,8,4,101,85,62,23,16,2,7,7,0.36951726,546.65916693,-80,1,2.35294008, ,, ,,10301508.9001,15682.1066537,6178.71272567404,1600497.36250239
178,3,Orangeville Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44537248,0,0,0,0, ,, ,,12416222.6628,16424.4106755,6477.09941016207,1929294.21314429
179,3,Original Northwood,1241,465,684,7,14,1,25,45,55,645,596,72,76,29,33,84,186,148,400,213,280,181,70,22,6,77,31,545,518,376,142,27,6,8,13,0.17242944,7197.1466514,1,17,2.18146991, ,, ,,4807037.80054,10610.4530743,4188.31909987033,747642.048259605
180,2,Otterbein,1823,1406,282,8,78,4,19,26,50,826,997,68,44,10,14,112,323,179,461,612,336,279,61,13,5,44,19,1275,1162,439,723,113,61,10,42,0.10251737,17782.3512566,-402,-59,1.56885004, ,, ,,2858008.99817,7204.22076466,2838.98034233176,443786.357796845
181,4,Overlea,774,506,235,3,6,0,13,11,21,381,393,43,59,25,33,43,104,113,251,103,174,101,41,21,3,52,31,324,297,236,61,27,6,7,14,0.30430461,2543.50395506,63,14,2.52862, ,, ,,8483491.93335,13968.5224437,5513.07191253013,1320263.72692596
182,4,Panway/Braddish Avenue,1221,10,1197,1,0,2,0,11,4,508,713,62,90,63,60,123,129,151,359,184,313,102,31,26,10,185,77,574,507,343,164,67,22,8,37,0.08114838,15046.5096757,-21,-33,2.40827989, ,, ,,2262278.16107,6872.04384964,2709.1674484983,351587.459980376
183,5,Park Circle,3153,65,3006,10,9,1,21,41,44,1463,1690,213,264,125,157,293,341,321,976,463,652,195,69,80,19,377,149,1560,1270,426,844,290,80,35,175,0.31055601,10152.7579256,-680,-174,2.44566988, ,, ,,8657770.05939,14082.4900589,5556.21509676115,1346131.30110991
184,1,Parklane,2049,46,1967,9,7,0,4,16,20,905,1144,176,197,77,92,231,289,215,523,249,509,151,54,64,23,294,154,814,719,324,395,95,36,6,53,0.12385896,16543.0087714,-80,-37,2.7246201, ,, ,,3452976.05133,8236.85601274,3246.81140862997,537087.069092028
185,5,Parkside,2683,281,2231,10,88,0,14,59,28,1261,1422,178,240,101,110,329,408,369,777,171,694,278,114,74,26,342,165,1190,1113,575,538,77,40,12,25,0.11749987,22834.0669443,134,40,2.41059994, ,, ,,3275695.39746,8597.02463868,3389.47395107913,509232.157572744
186,5,Parkview/Woodbrook,1981,35,1889,3,3,0,9,42,25,924,1057,156,157,89,105,220,227,242,602,183,407,114,37,58,26,235,109,1105,755,292,463,350,75,8,267,0.0985475,20101.9805228,-353,-144,2.61059999, ,, ,,2747335.73761,7362.81324146,2902.84357416166,427018.934530499
187,5,Patterson Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22589095,0,0,0,0, ,, ,,6297453.07526,10773.7409634,4244.18041420763,978048.700992412
188,4,Patterson Place,1165,558,413,14,32,1,114,33,270,602,563,78,92,31,35,130,336,200,205,58,223,104,46,32,15,87,44,573,432,211,221,141,55,38,48,0.03800757,30651.7870622,-61,-8,2.68518996, ,, ,,1059586.05334,4249.99922792,1675.83577649367,164585.137955243
